doi,nr_adna_samples
10.1126/sciadv.abg7261,17
10.1126/sciadv.abh2419,12
10.1126/sciadv.abi7038,136
10.1126/sciadv.abi7673,81
10.1126/sciadv.abo3609,13
10.1126/sciadv.add5582,90
10.1126/science.1153717,0
10.1126/science.1188021,3
10.1126/science.aar2625,27
10.1126/science.aar8380,8
10.1126/science.aax6219,122
10.1126/science.aay6826,133
10.1126/science.aba0909,24
10.1126/science.abi8264,8
10.1126/science.abk1534,202
10.1126/science.abm4247,778
10.1126/science.abm6536,163
10.1126/science.add6142,12
10.1126/science.ade4995,27
10.1186/s13059-023-03013-9,294
10.1371/journal.pone.0241278,12
10.1371/journal.pone.0241883,11
10.1371/journal.pone.0285449,1
10.15184/aqy.2022.79,10
10.15184/aqy.2023.2,9
10.15184/aqy.2024.94,1
10.21203/rs.3.rs-1993191/v1,1
10.2144/btn-2020-0100,98
10.3390/genes13010136,5
10.47248/hpgg2404010004,9
10.7554/elife.79714,188
10.7554/elife.85492,1
10.1038/s41431-019-0361-1,1
10.1371/journal.pgen.1010036,0
10.1038/s41598-020-75910-z,45
10.1038/s41467-020-15560-x,96
10.1038/s41586-024-08113-5,131
10.55465/gbvn3319,0
10.1126/sciadv.adg3377,68
10.1073/pnas.2406734121,48
10.1073/pnas.2412355121,0
10.1007/s12520-024-02050-0,24
10.1093/molbev/msae168,52
10.1126/sciadv.adi5903,275
10.1126/sciadv.adl2468,8
10.1038/s41467-024-51087-1,6
10.1038/s41598-024-54824-0,0
10.1038/s41559-024-02322-x,39
10.1038/s41467-023-40198-w,40
10.1016/j.isci.2023.106581,1
10.15184/aqy.2023.71,0
10.1093/molbev/msad182,21
10.1371/journal.pgen.1010360,2
10.1038/s41559-022-01883-z,2
10.1093/molbev/msab351,9
10.1016/j.celrep.2021.109278,1
10.1016/j.ajhg.2021.07.012,3
10.1016/j.cub.2021.06.023,1
10.1038/s41598-020-75163-w,11
10.1038/s41598-020-78723-2,1
10.15184/aqy.2025.10139,2
